year,category1,category2,1,2,3,4
2012,agend,teensm,8.8,29.9,46.8,14.5
2012,agend,teensf,7.6,33.5,47.9,11
2012,agend,twentm,8.6,32.5,46.2,12.8
2012,agend,twentf,8.5,33.7,46.1,11.7
2012,agend,thirtm,8.4,37.6,45,9
2012,agend,thirtf,13.6,44,37.5,4.9
2012,agend,fortm,9.3,42.4,40.1,8.1
2012,agend,fortf,15.6,46.9,32.6,4.9
2012,agend,fiftm,12.4,41.9,37.6,8
2012,agend,fiftf,18.3,44.1,31.8,5.8
2012,agend,sixm,12.8,37.7,38.2,11.4
2012,agend,sixf,13.8,36.7,37.8,11.7
2012,agend,eldm,13.6,36.2,37.7,12.4
2012,agend,eldf,12.9,34.3,39.1,13.7
2012,agedu,twmid,5.3,27.7,45.3,21.7
2012,agedu,twhigh,8.9,31.6,46.6,12.9
2012,agedu,twcol,8.3,35,45.6,11.1
2012,agedu,thmid,10,36.2,40,13.7
2012,agedu,thhigh,9.9,39.8,42.4,8
2012,agedu,thcol,11.6,41.4,40.8,6.2
2012,agedu,frtmid,11.6,38.7,35.8,13.9
2012,agedu,frthigh,12.1,44.6,36.8,6.5
2012,agedu,frtcol,12.9,46,36.1,5
2012,agedu,fifmid,13.3,39.2,38.4,9.1
2012,agedu,fifhigh,17.5,44.1,32.4,6
2012,agedu,fifcol,15.2,47.2,32.8,4.8
2012,agedu,sxmid,12,34.3,39.9,13.8
2012,agedu,sxhigh,15.9,41.9,35.4,6.8
2012,agedu,sxcol,18.4,48.5,28.8,4.3
2012,agedu,eldmid,11.8,32.9,40.2,15.2
2012,agedu,eldhigh,17.7,38.2,36.4,7.7
2012,agedu,eldcol,18.1,49.6,27,5.3
2014,total,total,11,36.6,41.4,11
2014,geog,urban,11.5,37.2,41,10.3
2014,geog,rural,8.6,33.7,43.3,14.4
2014,gender,male,9.5,35.1,43.7,11.8
2014,gender,female,12.5,38.1,39.2,10.2
2014,residence,indiv,10.7,33.3,41.5,14.6
2014,residence,apt,10.8,39,41,9.1
2014,residence,other,12,35.2,42.2,10.6
2014,age,teen,-,-,-,-
2014,age,teens,8.4,33.6,46.4,11.6
2014,age,twenties,8,30,48.6,13.3
2014,age,thirties,10.6,37.2,42.7,9.5
2014,age,forties,11,43,38.9,7
2014,age,fifties,13.3,40.3,37.1,9.3
2014,age,sixties,12.8,32.8,38.8,15.6
2014,age,elder,12.8,31.1,39.3,16.8
2014,educ,elem,11.3,29.5,42,17.3
2014,educ,midsc,10.9,34.9,42.2,12
2014,educ,highsc,11.6,37.3,41,10.1
2014,educ,college,10.3,39.9,41.2,8.6
2014,marital,unmarried,8.2,31.8,47.4,12.6
2014,marital,married,12.3,39.9,38.4,9.4
2014,marital,dead,12.3,28.8,41.8,17.1
2014,marital,divorced,11.3,36.8,40.4,11.6
2014,econ,work,10.3,36.9,41.9,10.8
2014,econ,nowork,11.9,36.2,40.7,11.2
2014,indust,agriff,9.4,29.8,42.8,18
2014,indust,mining,9.9,36.1,43,11
2014,indust,socap,10.5,38,41.6,9.9
2014,job,profm,9.9,39.7,41.5,8.9
2014,job,clerk,9.6,39.3,41.9,9.2
2014,job,service,10.6,36.8,42.2,10.4
2014,job,farmf,9.5,29.1,43,18.4
2014,job,funct,11,35.6,41.9,11.5
2014,empstat,employee,10.1,37.6,42.1,10.2
2014,empstat,employer,11.8,37,41.2,9.9
2014,empstat,selfemp,10.5,34,42.1,13.3
2014,satisf,satisfied,12,38.4,40,9.7
2014,satisf,soso,10.8,36.4,41.8,11
2014,satisf,unsatis,8.8,32.1,44.2,14.9
2014,hhinc,belhund,10.6,30,42.3,17
2014,hhinc,hund,11.5,34.8,41.1,12.6
2014,hhinc,twhund,11.3,36.2,42.3,10.2
2014,hhinc,thhund,11.1,38.8,40.6,9.5
2014,hhinc,fohund,10.8,38.6,41,9.6
2014,hhinc,fvhund,10.2,40.7,41.7,7.4
2014,hhinc,sxhund,10.7,41.7,40.4,7.2
2014,agend,teenm,-,-,-,-
2014,agend,teenf,-,-,-,-
2014,agend,teensm,8.9,33.1,46.6,11.4
2014,agend,teensf,7.8,34.2,46.2,11.7
2014,agend,twentm,8.3,30,47.3,14.3
2014,agend,twentf,7.7,30,49.9,12.4
2014,agend,thirtm,8.4,33,46.9,11.7
2014,agend,thirtf,12.9,41.6,38.4,7.1
2014,agend,fortm,8.3,40,43,8.7
2014,agend,fortf,13.8,46.1,34.7,5.4
2014,agend,fiftm,11.2,38,40.5,10.3
2014,agend,fiftf,15.4,42.6,33.6,8.4
2014,agend,sixm,11.7,33.9,39.6,14.8
2014,agend,sixf,13.7,32,38.1,16.2
2014,agend,eldm,12.5,32.6,39.5,15.4
2014,agend,eldf,13.1,29.9,39.2,17.8
2014,agedu,twmid,6.4,20.6,59.9,13.1
2014,agedu,twhigh,9.3,29.2,48.2,13.3
2014,agedu,twcol,6.8,31.2,48.6,13.3
2014,agedu,thmid,10.6,36.3,40,13.1
2014,agedu,thhigh,10.4,36.4,42.8,10.4
2014,agedu,thcol,10.7,37.7,42.8,8.9
2014,agedu,frtmid,12.5,39.8,37.5,10.2
2014,agedu,frthigh,11.5,41.4,39.5,7.6
2014,agedu,frtcol,10.4,45.1,38.5,6.1
2014,agedu,fifmid,13.2,35.9,38.3,12.7
2014,agedu,fifhigh,13.9,40.5,36.6,9.1
2014,agedu,fifcol,12.4,45.5,36.5,5.7
2014,agedu,sxmid,11.7,28.2,41.8,18.3
2014,agedu,sxhigh,15.2,40.5,33.4,10.9
2014,agedu,sxcol,15.1,47.1,30.2,7.6
2014,agedu,eldmid,11.7,27.1,42.3,18.9
2014,agedu,eldhigh,15.1,39.8,33.3,11.8
2014,agedu,eldcol,18,46.7,26.3,9
2016,total,total,12,38.5,39.3,10.2
2016,geog,urban,12.3,39.8,38.5,9.4
2016,geog,rural,10.6,32.4,42.9,14.2
2016,gender,male,10.2,36.5,41.6,11.7
2016,gender,female,13.7,40.5,37,8.8
2016,residence,indiv,10.6,33.7,41.3,14.4
2016,residence,apt,12.8,41.8,37.9,7.4
2016,residence,other,12,36.6,39.9,11.5
2016,age,teen,-,-,-,-
2016,age,teens,10.5,35.5,42.7,11.3
2016,age,twenties,8.4,32.5,45.9,13.1
2016,age,thirties,10.9,39.6,41.3,8.2
2016,age,forties,11.6,44.6,36.4,7.4
2016,age,fifties,14.5,42.1,34.8,8.6
2016,age,sixties,14,34.7,38,13.2
2016,age,elder,13.3,32.3,40,14.5
2016,educ,elem,11.2,30.3,42.3,16.2
2016,educ,midsc,12.2,37,39.2,11.5
2016,educ,highsc,11.8,39.1,38.7,10.3
2016,educ,college,12.4,41.7,38.6,7.3
2016,marital,unmarried,9.1,33.9,44.8,12.2
2016,marital,married,13.3,42.2,36.1,8.3
2016,marital,dead,13.2,30.5,41.1,15.2
2016,marital,divorced,12,33.4,40.4,14.2
2016,econ,work,10.9,38.3,40.3,10.5
2016,econ,nowork,13.4,38.8,38,9.9
2016,indust,agriff,8.5,28.6,43.9,19
2016,indust,mining,9.3,38.9,41.2,10.6
2016,indust,socap,11.5,39,39.8,9.7
2016,job,profm,11.9,42.5,37.6,8
2016,job,clerk,8.9,40.9,41.7,8.5
2016,job,service,11.9,38.4,39.6,10.1
2016,job,farmf,8.4,28.7,44.2,18.6
2016,job,funct,10.9,35.7,41.3,12.1
2016,empstat,employee,10.5,39.3,40.3,9.8
2016,empstat,employer,12.4,39.5,38.3,9.9
2016,empstat,selfemp,10.9,33.8,41.7,13.6
2016,satisf,satisfied,14,39.4,37.2,9.5
2016,satisf,soso,10.4,39.2,40.7,9.7
2016,satisf,unsatis,10.7,33.9,41.2,14.3
2016,hhinc,belhund,11.2,30.4,42.1,16.2
2016,hhinc,hund,11.9,36.4,39.7,12
2016,hhinc,twhund,11.8,39.4,37.9,10.8
2016,hhinc,thhund,11.7,40.5,38.7,9.2
2016,hhinc,fohund,12.3,40.4,39.5,7.8
2016,hhinc,fvhund,11.5,41.1,40.7,6.7
2016,hhinc,sxhund,13.8,42.5,37.6,6.1
2016,agend,teenm,-,-,-,-
2016,agend,teenf,-,-,-,-
2016,agend,teensm,12.1,34.1,41.7,12.1
2016,agend,teensf,8.8,37,43.8,10.4
2016,agend,twentm,8.5,32.3,44.8,14.4
2016,agend,twentf,8.3,32.8,47.1,11.8
2016,agend,thirtm,8.4,35.7,45.5,10.4
2016,agend,thirtf,13.5,43.7,36.9,5.9
2016,agend,fortm,8.5,40.4,41.9,9.2
2016,agend,fortf,14.9,48.9,30.8,5.5
2016,agend,fiftm,11.3,40.2,38.1,10.3
2016,agend,fiftf,17.6,44.1,31.4,6.8
2016,agend,sixm,12.7,34.3,38.7,14.2
2016,agend,sixf,15.1,35.1,37.5,12.4
2016,agend,eldm,12.9,32.9,39.6,14.6
2016,agend,eldf,13.5,31.9,40.2,14.4
2016,agedu,twmid,8.4,38.7,34.9,17.9
2016,agedu,twhigh,8,31.1,46.5,14.3
2016,agedu,twcol,8.8,33.7,45.9,11.6
2016,agedu,thmid,5.1,29.1,34.6,31.1
2016,agedu,thhigh,11.1,38.4,41.7,8.8
2016,agedu,thcol,11,40.4,41.3,7.3
2016,agedu,frtmid,13.4,37.8,35.7,13.2
2016,agedu,frthigh,10.5,44.5,37,8
2016,agedu,frtcol,12.5,45.3,35.9,6.3
2016,agedu,fifmid,13.2,37.9,36.5,12.4
2016,agedu,fifhigh,14.9,41.6,34.1,9.5
2016,agedu,fifcol,15,46.7,34.5,3.9
2016,agedu,sxmid,11.6,30.1,42.5,15.8
2016,agedu,sxhigh,16.5,41.4,32.4,9.7
2016,agedu,sxcol,22.4,46.5,25.1,6
2016,agedu,eldmid,10.9,28.1,43.9,17
2016,agedu,eldhigh,16.4,41,32.8,9.8
2016,agedu,eldcol,24,44.7,25.9,5.4
2018,total,total,11,36.4,41.1,11.5
2018,geog,urban,11.3,37.7,40.7,10.4
2018,geog,rural,9.8,30.2,43.2,16.8
2018,gender,male,9.3,34.8,43.2,12.7
2018,gender,female,12.7,37.9,39.1,10.3
2018,residence,indiv,10.5,30.3,43.5,15.7
2018,residence,apt,11.6,39.9,39.6,8.9
2018,residence,other,10,35.3,42,12.7
2018,age,teen,-,-,-,-
2018,age,teens,8.9,31.1,46.5,13.4
2018,age,twenties,7.8,29.7,47.4,15
2018,age,thirties,9.6,38.2,42.2,10
2018,age,forties,11.4,42.7,38.8,7.1
2018,age,fifties,13,40.6,36.3,10
2018,age,sixties,12.8,32.7,40.1,14.4
2018,age,elder,12,30.7,41.2,16.1
2018,educ,elem,9.8,26.7,45.2,18.2
2018,educ,midsc,11.5,31.5,43.2,13.8
2018,educ,highsc,11.2,37.4,40.2,11.3
2018,educ,college,11.2,40.4,39.9,8.6
2018,marital,unmarried,7.6,31,46.6,14.8
2018,marital,married,12.7,40.2,38.1,9
2018,marital,dead,10.7,29,42.4,17.8
2018,marital,divorced,11.6,33.6,41.5,13.3
2018,econ,work,10.1,36.8,41.8,11.3
2018,econ,nowork,12.2,35.8,40.1,11.8
2018,indust,agriff,9.7,25.9,44.2,20.3
2018,indust,mining,9.6,36.2,43.9,10.2
2018,indust,socap,10.3,37.8,41.1,10.8
2018,job,profm,10.4,40.5,42,7.1
2018,job,clerk,10,39.9,40.7,9.4
2018,job,service,9.8,37.8,40.1,12.3
2018,job,farmf,9.6,25.5,45.4,19.6
2018,job,funct,10.1,33.6,43,13.4
2018,empstat,employee,9.9,37.5,42,10.7
2018,empstat,employer,11.4,37.1,41.4,10.1
2018,empstat,selfemp,10.5,34.1,41.6,13.9
2018,satisf,satisfied,12.9,37.3,39.2,10.7
2018,satisf,soso,10.2,37.5,41.9,10.4
2018,satisf,unsatis,8.5,30.7,43.9,16.9
2018,hhinc,belhund,10.8,28,42.5,18.7
2018,hhinc,hund,11.5,32.8,42.3,13.4
2018,hhinc,twhund,10.9,36.7,40.7,11.7
2018,hhinc,thhund,11,36.9,41.5,10.6
2018,hhinc,fohund,10.5,40.4,40,9.1
2018,hhinc,fvhund,10.5,37.2,42.1,10.3
2018,hhinc,sxhund,11.5,41.3,39.2,8
2018,agend,teenm,-,-,-,-
2018,agend,teenf,-,-,-,-
2018,agend,teensm,8.4,33.8,43.6,14.1
2018,agend,teensf,9.5,28.2,49.5,12.8
2018,agend,twentm,7.7,29.6,47.4,15.4
2018,agend,twentf,7.9,29.9,47.5,14.7
2018,agend,thirtm,7.4,33.7,46,12.9
2018,agend,thirtf,12,43,38.2,6.9
2018,agend,fortm,9,39,42.7,9.2
2018,agend,fortf,13.7,46.4,34.9,5
2018,agend,fiftm,9.7,38.5,39.8,12
2018,agend,fiftf,16.4,42.7,32.9,8
2018,agend,sixm,12.3,32.7,41.1,13.9
2018,agend,sixf,13.2,32.7,39.3,14.8
2018,agend,eldm,11.7,32,41,15.3
2018,agend,eldf,12.2,29.8,41.3,16.7
2018,agedu,twmid,3.5,25.7,52.7,18.1
2018,agedu,twhigh,8.3,29.2,47.3,15.2
2018,agedu,twcol,7.4,30.4,47.4,14.8
2018,agedu,thmid,4.4,34.1,39.4,22.1
2018,agedu,thhigh,9.9,37.8,40.9,11.4
2018,agedu,thcol,9.7,38.5,42.8,9
2018,agedu,frtmid,12.4,26,41.8,19.8
2018,agedu,frthigh,10.4,40.7,41.3,7.6
2018,agedu,frtcol,12,45.3,36.8,6
2018,agedu,fifmid,12.7,31.5,41.5,14.3
2018,agedu,fifhigh,13,41.7,34.6,10.7
2018,agedu,fifcol,13.4,44.9,35.5,6.2
2018,agedu,sxmid,10.7,27.2,44.2,17.9
2018,agedu,sxhigh,15.1,38.6,35.5,10.9
2018,agedu,sxcol,17.9,45.8,30.6,5.6
2018,agedu,eldmid,10.5,26.1,44.6,18.9
2018,agedu,eldhigh,14.2,38,36.2,11.6
2018,agedu,eldcol,17.3,46.1,28.9,7.7
2020,total,total,13.7,39.9,36.8,9.6
2020,geog,urban,14,41.1,36.5,8.4
2020,geog,rural,12,34.5,38.2,15.3
2020,gender,male,11.6,38.6,39.3,10.6
2020,gender,female,15.7,41.2,34.4,8.6
2020,residence,indiv,13,35.1,38.4,13.5
2020,residence,apt,14,42.8,35.7,7.5
2020,residence,other,13.8,38.2,38,10
2020,age,teen,-,-,-,-
2020,age,teens,13,34,43,10
2020,age,twenties,9.5,34.1,45,11.3
2020,age,thirties,12.4,38.8,39,9.8
2020,age,forties,12.9,47.1,34.6,5.4
2020,age,fifties,15.6,45.8,31.8,6.9
2020,age,sixties,16.2,36.2,34.4,13.2
2020,age,elder,14.9,33.5,36.3,15.3
2020,educ,elem,12.3,29.9,40.4,17.4
2020,educ,midsc,14.7,36,37.4,11.9
2020,educ,highsc,14.3,40.3,36.1,9.3
2020,educ,college,13.3,44,36.1,6.6
2020,marital,unmarried,10.8,34.3,43.6,11.3
2020,marital,married,15.2,44.2,33,7.6
2020,marital,dead,13.5,30.9,38.7,16.9
2020,marital,divorced,13.9,37.5,36.9,11.7
2020,econ,work,12.4,41.1,37.4,9.1
2020,econ,nowork,15.2,38.4,36.2,10.2
2020,indust,agriff,11.1,30.8,39.8,18.4
2020,indust,mining,11.7,39.5,40.7,8.2
2020,indust,socap,12.7,42.3,36.4,8.6
2020,job,profm,14.2,43.9,36.5,5.5
2020,job,clerk,10.8,44.3,37.7,7.2
2020,job,service,13.7,41.3,35.3,9.7
2020,job,farmf,11.2,30.9,39.4,18.6
2020,job,funct,11.6,38.7,39,10.7
2020,empstat,employee,12.4,41.6,37.5,8.5
2020,empstat,employer,13,43,36.1,8
2020,empstat,selfemp,12,38.8,38,11.2
2020,satisf,satisfied,15.8,41.2,34.9,8.1
2020,satisf,soso,11.9,40.8,37.9,9.4
2020,satisf,unsatis,12.9,32.1,39.7,15.3
2020,hhinc,belhund,13.1,30.3,40.2,16.4
2020,hhinc,hund,15.3,36.3,36.9,11.5
2020,hhinc,twhund,13.6,40.9,35.9,9.6
2020,hhinc,thhund,13.3,41.9,36.3,8.6
2020,hhinc,fohund,13.1,42.4,35.8,8.6
2020,hhinc,fvhund,13.9,43.5,35.8,6.8
2020,hhinc,sxhund,13.4,42.7,37.5,6.4
2020,agend,teenm,-,-,-,-
2020,agend,teenf,-,-,-,-
2020,agend,teensm,13.7,34.1,41,11.2
2020,agend,teensf,12.3,33.8,45.2,8.7
2020,agend,twentm,9.2,32.7,45.5,12.6
2020,agend,twentf,9.8,35.6,44.6,10
2020,agend,thirtm,10,35.8,42.3,12
2020,agend,thirtf,15.1,42.2,35.3,7.4
2020,agend,fortm,10.2,43.3,39.6,6.9
2020,agend,fortf,15.6,51.1,29.4,3.9
2020,agend,fiftm,12.1,43.8,36.4,7.8
2020,agend,fiftf,19.1,47.8,27.1,6
2020,agend,sixm,14.3,37.8,34.7,13.2
2020,agend,sixf,17.6,35,34.1,13.2
2020,agend,eldm,14.1,35.6,35.4,14.9
2020,agend,eldf,15.5,31.9,37.1,15.6
2020,agedu,twmid,2.7,26.4,55.3,15.5
2020,agedu,twhigh,10.2,33.4,45.5,10.8
2020,agedu,twcol,9,35,44.3,11.7
2020,agedu,thmid,9.3,34,47.1,9.7
2020,agedu,thhigh,11.2,36.4,38.5,13.9
2020,agedu,thcol,13,40,38.9,8.1
2020,agedu,frtmid,13.6,39.6,32.9,13.9
2020,agedu,frthigh,12.4,45.1,34.9,7.5
2020,agedu,frtcol,13.1,48.8,34.5,3.6
2020,agedu,fifmid,15,37.7,34.8,12.5
2020,agedu,fifhigh,15.8,45,32.3,7
2020,agedu,fifcol,15.5,50.5,29.7,4.3
2020,agedu,sxmid,13.6,30.4,38.8,17.3
2020,agedu,sxhigh,20.3,42.6,28,9.1
2020,agedu,sxcol,18.4,47.3,29.1,5.2
2020,agedu,eldmid,12.4,28.9,39.8,18.9
2020,agedu,eldhigh,19.1,41.4,30,9.6
2020,agedu,eldcol,20.9,44.3,28.9,5.9
