year,category1,category2,1,2
2018,indust,mining,13.6,86.4
2018,indust,socap,16.3,83.7
2018,job,profm,16.7,83.3
2018,job,clerk,18.8,81.2
2018,job,service,14,86
2018,job,farmf,7.2,92.8
2018,job,funct,13,87
2018,empstat,employee,16.6,83.4
2018,empstat,employer,15.4,84.6
2018,empstat,selfemp,10.7,89.3
2018,satisf,satisfied,16.4,83.6
2018,satisf,soso,15.4,84.6
2018,satisf,unsatis,15.2,84.8
2018,hhinc,belhund,16.2,83.8
2018,hhinc,hund,14.3,85.7
2018,hhinc,twhund,15.8,84.2
2018,hhinc,thhund,15.2,84.8
2018,hhinc,fohund,16.5,83.5
2018,hhinc,fvhund,14.1,85.9
2018,hhinc,sxhund,18.2,81.8
2018,agend,tetwm,22.2,77.8
2018,agend,tetwf,29.9,70.1
2018,agend,thirtm,14.6,85.4
2018,agend,thirtf,18.6,81.4
2018,agend,fortm,13.6,86.4
2018,agend,fortf,20.4,79.6
2018,agend,fiftm,16.3,83.7
2018,agend,fiftf,16.4,83.6
2018,agend,sixm,16.3,83.7
2018,agend,sixf,13.9,86.1
2018,agend,eldm,17.2,82.8
2018,agend,eldf,12.1,87.9
2020,total,total,25.1,74.9
2020,geog,urban,26.9,73.1
2020,geog,rural,17.6,82.4
2020,gender,male,25.4,74.6
2020,gender,female,23.7,76.3
2020,residence,indiv,20.7,79.3
2020,residence,apt,27.1,72.9
2020,residence,other,24.7,75.3
2020,age,tetw,25,75
2020,age,thirties,23.2,76.8
2020,age,forties,24.2,75.8
2020,age,fifties,25.8,74.2
2020,age,sixties,27.5,72.5
2020,age,seventies,25.4,74.6
2020,age,ovegt,22.3,77.7
2020,age,ovsx,26.8,73.2
2020,age,sxsf,26.9,73.1
2020,age,ovsf,26.7,73.3
2020,age,sfsn,28.3,71.7
2020,age,ovsv,25,75
2020,educ,elem,23.8,76.2
2020,educ,midsc,21.9,78.1
2020,educ,highsc,24.4,75.6
2020,educ,college,26.3,73.7
2020,marital,unmarried,22.7,77.3
2020,marital,married,25.9,74.1
2020,marital,dead,25.4,74.6
2020,marital,divorced,21.5,78.5
2020,econ,work,24.7,75.4
2020,econ,nowork,27.2,72.8
2020,indust,agriff,15.9,84.1
2020,indust,mining,23.5,76.5
2020,indust,socap,25.6,74.4
2020,job,profm,23.4,76.6
2020,job,clerk,29.7,70.3
2020,job,service,24.4,75.6
2020,job,farmf,15.6,84.4
2020,job,funct,23.9,76.1
2020,empstat,employee,26.1,73.9
2020,empstat,employer,21.4,78.6
2020,empstat,selfemp,21.3,78.7
2020,satisf,satisfied,27,73
2020,satisf,soso,24.4,75.6
2020,satisf,unsatis,20.3,79.8
2020,hhinc,belhund,22.4,77.6
2020,hhinc,hund,23.9,76.1
2020,hhinc,twhund,26.3,73.7
2020,hhinc,thhund,23.4,76.6
2020,hhinc,fohund,24.4,75.6
2020,hhinc,fvhund,26.7,73.3
2020,hhinc,sxhund,27.1,72.9
2020,agend,tetwm,24.9,75.1
2020,agend,tetwf,25.2,74.8
2020,agend,thirtm,22.4,77.6
2020,agend,thirtf,28.3,71.7
2020,agend,fortm,24.6,75.4
2020,agend,fortf,22.3,77.7
2020,agend,fiftm,26.4,73.6
2020,agend,fiftf,22.7,77.3
2020,agend,sixm,27.3,72.7
2020,agend,sixf,23,77
2020,agend,eldm,27.9,72.1
2020,agend,eldf,16.1,83.9
